"","x"
"(Intercept)",-22.8925518022709
"t_num",0.00371640092913299
"I(t_num^2)",-2.8619019627275e-07
"word_count",-0.00101607458072442
"headline_main_len",0.0873211036709385
"snippet_len",0.0800642650160841
"section_nameArchives",21.7930578541127
"section_nameArts",16.365964121551
"section_nameAt Home",11.1023746804958
"section_nameAutomobiles",-0.232298441642172
"section_nameBooks",15.3650844582877
"section_nameBriefing",14.3174309551242
"section_nameBusiness Day",17.2043998621296
"section_nameClimate",15.004489856368
"section_nameCrosswords & Games",5.54641947463867
"section_nameEducation",14.7206591176895
"section_nameFashion & Style",20.3301274335354
"section_nameFood",15.5963486403635
"section_nameHealth",18.2627633121427
"section_nameHome & Garden",-1.2860176154269
"section_nameLens",20.5485251077094
"section_nameMagazine",15.0175652535571
"section_nameMovies",15.3971155039379
"section_nameNew York",19.0804729927453
"section_nameObituaries",21.4159273502008
"section_nameOpinion",10.8015889977208
"section_nameParenting",18.8963611850054
"section_namePodcasts",17.7103811843655
"section_nameReader Center",29.4047153795774
"section_nameReal Estate",17.5694807293349
"section_nameScience",15.5078588798565
"section_nameSmarter Living",15.4439238283469
"section_nameSpecial Series",10.8935767554809
"section_nameSports",17.6960514317996
"section_nameStyle",21.3769578255091
"section_nameSunday Review",14.3844632041161
"section_nameT Magazine",13.7630265040636
"section_nameTechnology",17.8182725916322
"section_nameThe Learning Network",16.7008798953091
"section_nameThe Upshot",14.6718423141209
"section_nameThe Weekly",21.0841765045309
"section_nameTheater",18.2373675026387
"section_nameTimes Insider",9.24558977213173
"section_nameTravel",12.7995176537265
"section_nameU.S.",20.5062039503682
"section_nameVideo",22.9520731773743
"section_nameWeek in Review",-3.28866256414598
"section_nameWell",13.1856433116559
"section_nameWorld",19.8209967784267
"section_nameYour Money",7.83752854926063
"print",-1.76390727416406
"topic_1",7.45811615784936
"topic_2",-14.4509937690964
"topic_3",2.299092088611
"topic_4",-2.71098760672402
"topic_5",10.8450209542232
"topic_6",14.3885841131555
"topic_7",4.64983904531788
"topic_8",9.76427709702836
"topic_9",3.60734379616273
"topic_10",12.5449232395851
"topic_11",23.3725073895824
"topic_12",-4.36932598631156
"topic_13",-7.52368095118049
"topic_14",7.91933139764978
"topic_15",6.92244073573737
"topic_16",18.4562936874482
"topic_17",-22.1736514618164
"topic_18",7.92073703865516
"topic_19",10.7320176254787
"topic_20",28.2201535645568
"topic_21",-28.0467073902991
"topic_22",-1.19202158325421
"topic_23",0.905946084461728
"topic_24",7.10845977526809
"topic_25",24.2260967783786
"topic_26",3.16626403066726
"topic_27",16.7070492430138
"topic_28",-3.25600953461388
"topic_29",11.5372145972962
"topic_30",8.47640416767281
"topic_31",16.7730731859998
"topic_32",-3.5020295483894
"topic_33",17.3403836468026
"topic_34",6.85249937051669
"topic_35",-4.09130747421954
"topic_36",17.4741815608242
"topic_37",7.31843188097932
"topic_38",7.84905059005702
"topic_39",-6.34103693904694
